y,x,group
341,26,B
318,30,B
349,27,B
385,28,B
439,25,B
304,31,B
436,29,B
403,34,B
306,33,B
314,28,B
449,35,B
324,28,B
399,31,B
381,35,B
324,29,B
377,35,B
365,34,B
410,29,B
420,34,B
401,35,B
446,30,B
317,33,B
353,28,B
432,35,B
455,35,B
406,25,B
441,26,B
409,26,B
352,31,B
325,32,B
376,31,B
307,32,B
345,25,B
310,34,B
346,35,B
425,28,B
448,26,B
443,34,B
348,25,B
401,28,B
398,28,B
445,29,B
443,34,B
422,26,B
337,32,B
443,35,B
356,25,B
422,31,B
395,30,B
381,26,B
425,33,B
306,28,B
386,30,B
379,26,B
380,25,B
440,34,B
397,33,B
438,25,B
379,31,B
377,28,B
447,35,B
334,28,B
380,31,B
354,25,B
407,26,B
378,28,B
332,30,B
317,34,B
458,34,B
437,33,B
335,35,B
410,30,B
369,27,B
437,28,B
378,30,B
432,30,B
424,35,B
300,32,B
447,27,B
332,31,B
330,27,B
381,31,B
433,27,B
326,28,B
374,32,B
418,35,B
407,30,B
305,34,B
305,27,B
369,32,B
396,34,B
351,31,B
407,28,B
360,25,B
454,33,B
307,35,B
402,30,B
426,29,B
431,30,B
327,30,B
354,33,B
319,31,B
307,26,B
403,26,B
379,31,B
352,33,B
334,35,B
342,32,B
376,27,B
407,31,B
339,26,B
449,28,B
423,32,B
445,31,B
312,34,B
393,31,B
332,31,B
419,30,B
387,30,B
347,27,B
431,25,B
415,30,B
416,25,B
336,29,B
301,32,B
435,33,B
394,29,B
445,29,B
443,28,B
368,33,B
409,31,B
361,35,B
309,34,B
434,33,B
354,25,B
312,31,B
442,27,B
449,28,B
335,34,B
335,34,B
337,30,B
397,34,B
377,27,B
375,26,B
331,30,B
428,32,B
401,35,B
334,35,B
310,32,B
443,35,B
433,28,B
307,29,B
385,31,B
338,27,B
420,25,B
350,28,B
340,32,B
399,33,B
428,34,B
414,33,B
425,33,B
301,25,B
411,29,B
370,28,B
458,33,B
420,33,B
365,26,B
414,28,B
346,30,B
439,28,B
371,28,B
356,25,B
383,34,B
404,27,B
420,27,B
405,31,B
330,35,B
311,34,B
408,27,B
408,33,B
433,33,B
340,33,B
302,34,B
376,32,B
417,26,B
405,27,B
368,27,B
360,31,B
400,32,B
359,28,B
342,34,B
329,28,B
391,32,B
314,28,B
374,31,B
418,26,B
404,25,B
317,28,B
329,34,B
321,31,B
330,29,B
303,26,B
371,25,B
366,31,B
383,35,B
435,27,B
451,29,B
427,30,B
455,32,B
427,31,B
387,30,B
428,30,B
337,33,B
459,31,B
344,31,B
332,25,B
457,25,B
415,34,B
403,34,B
430,28,B
349,25,B
322,31,B
389,26,B
332,26,B
304,31,B
326,32,B
349,35,B
455,25,B
422,26,B
432,25,B
364,29,B
368,34,B
397,28,B
427,34,B
404,25,B
359,31,B
357,32,B
426,32,B
341,31,B
373,35,B
332,32,B
365,27,B
424,30,B
330,27,B
310,29,B
429,27,B
344,26,B
393,25,B
335,31,B
415,25,B
430,25,B
369,29,B
385,33,B
459,28,B
312,31,B
429,31,B
349,33,B
318,29,B
383,27,B
426,32,B
452,28,B
308,35,B
367,29,B
363,34,B
365,28,B
450,29,B
423,27,B
369,31,B
319,34,B
388,32,B
433,26,B
302,32,B
449,29,B
349,31,B
376,27,B
414,28,B
349,26,B
384,25,B
389,30,B
340,34,B
376,30,B
448,27,B
354,27,B
398,29,B
401,32,B
389,35,B
411,29,B
352,32,B
435,31,B
412,30,B
302,28,B
383,27,B
391,26,B
384,25,B
395,28,B
444,31,B
369,30,B
369,32,B
340,35,B
451,29,B
329,34,B
303,33,B
382,30,B
406,34,B
394,32,B
409,34,B
341,28,B
351,32,B
408,29,B
377,30,B
345,28,B
410,26,B
335,30,B
379,26,B
413,32,B
393,35,B
317,25,B
318,26,B
341,25,B
421,27,B
412,35,B
337,25,B
345,35,B
416,32,B
405,29,B
441,26,B
319,26,B
365,27,B
434,31,B
354,33,B
444,35,B
397,33,B
373,32,B
397,31,B
448,28,B
436,29,B
315,32,B
347,31,B
360,30,B
329,26,B
435,28,B
394,29,B
350,27,B
385,30,B
342,26,B
397,32,B
418,32,B
429,35,B
369,27,B
437,31,B
428,31,B
317,26,B
305,31,B
410,26,B
403,25,B
449,32,B
375,27,B
453,34,B
333,27,B
409,25,B
313,34,B
346,30,B
437,29,B
339,33,B
381,33,B
367,33,B
416,29,B
390,27,B
393,29,B
445,32,B
324,29,B
302,30,B
319,32,B
363,32,B
332,30,B
328,35,B
340,31,B
452,34,B
306,27,B
429,29,B
315,31,B
392,34,B
407,26,B
333,33,B
423,25,B
329,32,B
410,26,B
395,33,B
335,25,B
371,30,B
408,32,B
331,30,B
330,30,B
379,28,B
365,29,B
426,31,B
397,29,B
305,27,B
407,29,B
405,29,B
310,35,B
419,32,B
376,30,B
336,31,B
374,25,B
316,35,B
433,32,B
343,30,B
378,29,B
411,35,B
360,25,B
399,32,B
389,31,B
358,27,B
402,25,B
350,31,B
332,29,B
428,30,B
351,30,B
320,34,B
355,35,B
342,28,B
420,30,B
448,31,B
365,31,B
321,29,B
413,34,B
345,25,B
381,34,B
418,27,B
390,32,B
415,33,B
345,30,B
440,31,B
320,30,B
372,26,B
394,25,B
417,35,B
381,33,B
429,29,B
397,30,B
335,32,B
387,27,B
316,26,B
360,34,B
404,28,B
337,29,B
432,25,B
347,28,B
366,32,B
364,32,B
455,27,B
312,35,B
448,32,B
362,29,B
307,25,B
398,35,B
372,26,B
460,32,B
432,33,B
367,34,B
370,29,B
393,25,B
442,32,B
319,30,B
332,26,B
396,25,B
370,33,B
415,32,B
428,28,B
321,32,B
356,27,B
434,29,B
301,25,B
411,30,B
372,34,B
379,32,B
331,31,B
317,32,B
422,33,B
388,31,B
452,26,B
390,35,B
333,34,B
331,25,B
422,34,B
331,34,B
370,32,B
431,34,B
408,33,B
314,33,B
403,33,B
415,30,B
428,29,B
428,33,B
380,28,B
442,33,B
321,35,B
398,35,B
418,35,B
442,28,B
399,33,B
448,33,B
361,25,B
410,35,B
420,33,B
451,25,B
458,35,B
418,27,B
396,30,B
367,25,B
416,25,B
311,32,B
323,27,B
405,25,B
392,27,B
401,35,B
353,35,B
417,34,B
383,26,B
357,30,B
448,28,B
393,29,B
444,27,B
456,29,B
451,34,B
307,25,B
417,26,B
309,25,B
423,31,B
389,30,B
350,27,B
431,26,B
328,27,B
389,33,B
348,29,B
454,30,B
388,30,B
304,34,B
395,27,B
455,30,B
368,25,B
436,25,B
371,34,B
418,26,B
454,28,B
456,33,B
335,34,B
431,25,B
366,33,B
404,26,B
409,31,B
391,35,B
456,28,B
459,29,B
454,29,B
322,29,B
306,27,B
418,27,B
329,35,B
323,25,B
440,34,B
398,29,B
455,33,B
338,27,B
386,25,B
310,27,B
305,35,B
396,32,B
457,25,B
308,27,B
303,29,B
389,30,B
302,26,B
391,33,B
419,31,B
401,29,B
347,26,B
308,34,B
330,32,B
343,35,B
333,32,B
424,25,B
446,31,B
431,31,B
421,33,B
311,30,B
386,25,B
439,26,B
414,34,B
385,32,B
312,35,B
378,34,B
374,33,B
321,31,B
381,25,B
324,29,B
405,32,B
316,34,B
390,32,B
428,29,B
334,28,B
453,32,B
348,31,B
315,27,B
430,25,B
390,27,B
357,27,B
423,35,B
440,26,B
386,32,B
379,33,C
389,35,C
309,26,C
301,33,C
356,33,C
438,26,C
333,31,C
365,31,C
318,30,C
458,35,C
351,34,C
307,27,C
303,34,C
318,28,C
387,34,C
448,25,C
353,29,C
366,34,C
338,35,C
316,26,C
353,26,C
375,25,C
434,35,C
338,27,C
317,28,C
369,26,C
309,30,C
360,33,C
433,32,C
387,32,C
381,25,C
450,28,C
358,28,C
325,33,C
385,27,C
454,32,C
370,30,C
403,28,C
305,33,C
458,30,C
458,34,C
353,30,C
317,32,C
459,26,C
327,28,C
457,25,C
340,27,C
346,27,C
304,35,C
420,30,C
302,32,C
382,27,C
367,33,C
375,28,C
391,29,C
329,26,C
408,34,C
416,32,C
428,27,C
438,26,C
427,30,C
410,26,C
339,35,C
425,29,C
357,33,C
389,32,C
311,32,C
329,28,C
445,29,C
448,30,C
318,26,C
362,28,C
381,29,C
364,32,C
329,31,C
345,35,C
328,31,C
459,31,C
377,26,C
451,34,C
330,31,C
350,30,C
351,26,C
390,25,C
302,32,C
451,26,C
426,27,C
303,32,C
457,32,C
382,27,C
325,32,C
458,34,C
434,26,C
317,30,C
417,29,C
318,30,C
414,29,C
421,35,C
335,32,C
402,30,C
411,33,C
411,34,C
310,33,C
339,31,C
312,25,C
451,30,C
388,34,C
409,33,C
453,29,C
362,30,C
394,33,C
304,33,C
333,30,C
383,28,C
305,30,C
306,26,C
339,26,C
427,27,C
458,27,C
372,32,C
449,32,C
329,33,C
382,33,C
326,27,C
311,30,C
370,28,C
340,28,C
460,31,C
389,31,C
337,28,C
456,29,C
402,29,C
403,35,C
318,31,C
308,32,C
450,27,C
349,27,C
314,30,C
329,34,C
325,25,C
383,32,C
369,29,C
405,26,C
321,34,C
326,31,C
384,25,C
441,26,C
444,28,C
324,26,C
445,34,C
379,30,C
443,26,C
356,35,C
440,26,C
359,31,C
328,35,C
432,29,C
320,27,C
431,30,C
328,27,C
426,25,C
458,31,C
386,33,C
458,26,C
307,28,C
300,28,C
420,26,C
321,25,C
412,31,C
434,34,C
442,35,C
300,28,C
434,34,C
399,33,C
447,26,C
393,32,C
391,30,C
403,31,C
446,33,C
449,32,C
401,31,C
366,32,C
378,32,C
387,28,C
368,29,C
388,33,C
387,31,C
390,35,C
423,31,C
398,29,C
362,25,C
458,26,C
383,25,C
350,30,C
379,26,C
427,35,C
433,35,C
363,34,C
348,30,C
405,33,C
320,31,C
350,30,C
386,25,C
441,28,C
302,31,C
339,29,C
390,27,C
442,31,C
449,34,C
421,25,C
314,25,C
378,33,C
320,30,C
381,28,C
362,25,C
365,30,C
430,25,C
355,32,C
448,29,C
384,27,C
335,29,C
432,29,C
456,29,C
335,32,C
412,34,C
332,30,C
406,25,C
347,32,C
302,29,C
356,33,C
407,32,C
317,30,C
312,28,C
371,26,C
344,32,C
395,29,C
322,33,C
429,27,C
438,25,C
392,27,C
319,28,C
389,25,C
373,35,C
308,34,C
394,27,C
371,34,C
414,28,C
351,35,C
430,31,C
430,27,C
438,26,C
414,32,C
419,27,C
419,28,C
457,27,C
445,34,C
449,30,C
426,25,C
416,25,C
441,29,C
413,29,C
451,34,C
351,33,C
451,34,C
375,25,C
361,25,C
363,34,C
389,35,C
437,29,C
317,34,C
325,28,C
318,32,C
308,32,C
315,26,C
312,31,C
415,31,C
372,25,C
344,25,C
443,27,C
363,32,C
454,35,C
300,35,C
349,34,C
420,27,C
400,32,C
396,25,C
425,34,C
346,28,C
316,26,C
338,35,C
431,33,C
432,32,C
398,28,C
434,26,C
373,35,C
378,27,C
330,34,C
393,25,C
436,25,C
333,30,C
365,34,C
395,32,C
376,35,C
305,27,C
398,27,C
425,33,C
426,35,C
320,30,C
422,28,C
344,27,C
309,35,C
335,29,C
424,34,C
345,32,C
423,32,C
390,32,C
316,30,C
421,35,C
404,34,C
348,33,C
338,31,C
402,32,C
400,30,C
380,34,C
343,33,C
451,34,C
388,32,C
307,34,C
381,34,C
385,31,C
369,30,C
321,28,C
436,25,C
370,34,C
353,29,C
333,30,C
446,34,C
444,27,C
421,28,C
354,31,C
317,29,C
347,25,C
450,30,C
373,33,C
369,34,C
364,35,C
434,32,C
433,31,C
330,32,C
378,33,C
337,34,C
393,35,C
358,35,C
452,25,C
405,30,C
399,32,C
454,28,C
448,27,C
349,26,C
354,27,C
454,28,C
312,30,C
306,31,C
440,29,C
431,25,C
394,32,C
444,33,C
304,29,C
417,30,C
332,25,C
445,31,C
418,34,C
302,26,C
455,30,C
397,31,C
330,29,C
346,35,C
315,26,C
457,28,C
302,28,C
318,25,C
431,34,C
420,30,C
388,27,C
350,31,C
387,27,C
338,26,C
318,35,C
449,29,C
404,26,C
452,25,C
436,30,C
427,26,C
396,31,C
455,27,C
380,31,C
386,32,C
307,25,C
340,31,C
442,33,C
455,27,C
424,25,C
433,33,C
356,30,C
356,25,C
426,31,C
426,28,C
324,30,C
447,26,C
387,31,C
407,33,C
388,30,C
340,27,C
308,29,C
333,31,C
342,28,C
302,29,C
331,31,C
364,30,C
343,33,C
388,30,C
417,27,C
385,25,C
350,32,C
308,26,C
371,26,C
432,25,C
436,33,C
404,27,C
374,35,C
426,35,C
402,31,C
419,33,C
385,29,C
363,35,C
368,29,C
443,32,C
381,27,C
336,25,C
360,25,C
374,31,C
372,30,C
310,28,C
333,32,C
424,29,C
384,34,C
346,34,C
322,32,C
448,27,C
320,35,C
347,32,C
358,31,C
328,29,C
429,33,C
389,31,C
379,32,C
425,30,C
372,32,C
420,31,C
315,35,C
434,25,C
312,27,C
356,30,C
454,31,C
397,34,C
357,27,C
387,29,C
412,34,C
422,32,C
308,31,C
326,27,C
430,31,C
376,25,C
448,29,C
407,25,C
301,27,C
368,29,C
390,25,C
412,31,C
331,33,C
405,29,C
401,31,C
344,30,C
351,26,C
369,29,C
340,25,C
449,27,C
358,34,C
303,34,C
460,30,C
441,30,C
418,33,C
367,29,C
322,28,C
436,27,C
349,29,C
443,28,C
318,30,C
309,29,C
336,27,C
376,31,C
314,26,C
433,30,C
406,32,C
318,34,C
367,32,C
335,28,C
326,26,C
446,25,C
361,34,C
428,25,C
388,25,C
450,35,C
323,26,C
399,32,C
423,25,C
349,31,C
322,33,C
307,30,C
306,27,C
343,34,C
430,26,C
305,34,C
384,29,C
389,35,C
383,35,C
388,35,C
416,32,C
452,27,C
337,26,C
387,29,C
448,32,C
315,35,C
409,31,C
434,25,C
424,29,C
433,31,C
323,30,C
396,27,C
367,32,C
368,32,C
415,26,C
453,29,C
431,26,C
420,32,C
426,27,C
332,27,C
436,35,C
442,30,C
388,25,C
405,32,C
348,32,C
411,28,C
329,25,C
352,28,C
418,28,C
348,29,C
447,27,C
442,33,C
460,29,C
449,33,C
442,26,C
313,31,C
337,31,C
341,29,C
416,31,C
411,32,C
325,35,C
344,25,C
434,29,C
356,34,C
331,29,C
406,25,C
307,35,C
408,35,C
439,27,C
375,35,C
393,35,C
329,31,C
354,35,C
438,30,C
391,29,C
311,27,C
419,31,C
323,35,C
321,32,C
406,31,C
422,27,C
348,33,C
350,35,C
300,31,C
458,25,C
337,34,C
328,31,C
358,34,C
313,29,C
400,27,C
394,28,C
359,30,C
370,34,C
406,34,C
344,26,C
408,28,C
375,27,C
401,30,C
313,28,C
389,34,C
371,31,C
342,25,C
418,29,C
384,31,C
345,32,C
454,27,C
432,27,C
352,25,C
388,27,C
301,34,C
453,33,C
455,32,C
341,34,C
427,34,C
413,27,C
332,33,C
439,32,C
351,30,C
374,28,C
419,34,C
326,25,C
380,34,C
362,30,C
450,30,C
391,27,C
438,26,C
398,35,C
314,28,C
303,31,C
388,35,C
300,28,C
370,32,C
411,26,C
389,33,C
448,25,C
305,33,C
417,31,C
411,35,C
425,33,C
418,31,C
348,33,C
305,29,C
407,31,C
388,32,C
365,33,C
368,27,C
448,29,C
308,35,C
412,33,C
386,35,C
315,30,C
344,35,C
305,27,C
417,26,C
376,33,C
353,31,C
440,28,C
343,29,C
341,34,C
435,29,C
423,35,C
352,27,C
415,31,C
439,30,C
383,28,C
406,33,C
317,29,C
420,29,C
379,32,C
405,35,C
373,27,C
372,34,C
352,35,C
368,29,C
397,35,C
357,27,C
355,30,C
450,28,C
406,25,C
346,34,C
333,27,C
424,26,C
363,26,C
391,27,C
344,26,C
436,30,C
316,34,C
359,28,C
316,26,C
373,32,C
404,28,C
397,30,C
327,30,C
352,34,C
447,25,C
353,26,C
344,35,C
348,28,C
345,31,C
355,33,C
320,25,C
384,31,C
406,26,C
455,32,C
420,28,C
376,33,C
452,32,C
444,27,C
371,31,C
390,33,C
343,26,C
348,28,C
374,33,C
404,31,C
328,34,C
372,26,C
312,32,C
399,28,C
411,29,C
350,27,C
364,35,C
457,29,C
403,31,C
378,33,C
428,26,C
326,31,C
434,35,C
345,33,C
405,33,C
425,27,C
404,26,C
391,27,C
349,29,C
338,25,C
350,28,C
371,27,C
386,31,C
441,26,C
323,32,C
362,28,C
411,27,C
445,26,C
405,25,C
453,28,C
307,33,C
325,31,C
347,32,C
329,30,C
301,32,C
343,32,C
348,26,C
301,33,C
340,32,C
348,29,C
451,26,C
413,25,C
304,32,C
363,27,C
367,27,C
422,30,C
301,31,C
312,29,C
418,26,C
420,33,C
388,30,C
403,34,C
412,32,C
367,35,C
300,32,C
301,34,C
335,25,C
418,29,C
310,29,C
313,34,C
389,28,C
311,32,C
437,26,C
332,32,C
428,29,C
460,30,C
381,30,C
391,28,C
309,31,C
438,31,C
327,34,C
335,27,C
320,25,C
321,31,C
393,33,C
440,32,C
401,34,C
327,33,C
390,32,C
422,31,C
415,32,C
372,35,C
382,35,C
366,31,C
321,30,C
380,32,C
340,31,C
400,26,C
416,33,C
379,35,C
383,33,C
357,32,C
365,25,C
457,29,C
364,26,C
450,35,C
341,28,C
403,25,C
315,34,C
357,25,C
374,26,C
412,33,C
321,28,C
348,35,C
449,31,C
324,35,C
331,28,C
300,26,C
363,28,C
424,34,C
429,35,C
452,35,C
318,32,C
346,33,C
309,31,C
364,34,C
376,35,C
311,31,C
395,31,C
360,31,C
344,27,C
450,30,C
414,25,C
378,28,C
322,29,C
443,27,C
419,27,C
324,31,C
341,30,C
452,33,C
381,25,C
383,34,C
453,34,C
428,27,C
430,29,C
395,34,C
355,26,C
414,25,C
440,34,C
332,28,C
458,31,C
401,34,C
422,34,C
369,28,C
378,28,C
381,31,C
374,35,C
454,31,C
448,29,C
402,29,C
403,35,C
354,34,C
303,26,C
381,33,C
381,29,C
397,30,C
450,31,C
444,33,C
333,34,C
311,26,C
312,30,C
431,29,C
430,32,C
383,35,C
457,29,C
456,26,C
385,28,C
359,32,C
427,34,C
381,26,C
393,31,C
315,34,C
323,33,C
448,30,C
458,35,C
393,35,C
333,31,C
401,30,C
425,27,C
321,29,C
323,32,C
443,30,C
436,29,C
443,35,C
409,29,C
451,30,C
329,35,C
369,32,C
364,28,C
318,34,C
325,27,C
368,28,C
356,25,C
309,30,C
397,35,C
395,32,C
331,30,C
383,30,C
351,25,C
359,29,C
336,30,C
436,31,C
403,26,C
368,26,C
437,34,C
328,29,C
349,27,C
446,34,C
376,33,C
317,35,C
383,30,C
321,25,C
344,31,C
335,32,C
329,30,C
355,30,C
315,28,C
346,34,C
436,34,C
343,30,C
312,28,C
347,34,C
307,34,C
433,26,C
402,29,C
322,30,C
393,29,C
309,35,C
327,25,C
427,27,C
404,34,C
422,27,C
409,34,C
421,35,C
414,32,C
354,33,C
435,34,C
300,28,C
300,31,C
454,34,C
316,31,C
447,26,C
303,32,C
374,28,C
350,28,C
301,30,C
354,30,C
447,33,C
373,27,C
373,30,C
412,32,C
327,30,C
359,25,C
307,31,C
422,25,C
408,35,C
374,30,C
379,30,C
410,31,C
419,30,C
428,32,C
307,26,C
318,25,C
325,25,C
340,32,C
342,31,C
380,31,C
408,29,C
301,31,C
370,26,C
361,28,C
351,28,C
334,31,C
350,30,C
301,32,C
412,33,C
369,35,C
421,34,C
398,32,C
309,25,C
352,28,C
301,27,C
383,35,C
448,29,C
324,31,C
451,35,C
309,25,C
446,33,C
397,25,C
384,34,C
384,32,C
415,25,C
391,25,C
418,34,C
363,30,C
436,30,C
375,25,C
351,25,C
327,32,C
335,35,C
441,34,C
305,35,C
446,29,C
417,35,C
390,35,C
411,29,C
381,25,C
340,31,C
354,34,C
393,30,C
350,30,C
331,32,C
334,25,C
339,33,C
310,31,C
396,34,C
377,27,C
332,35,C
434,26,C
421,35,C
438,31,C
402,32,C
429,26,C
429,35,C
345,31,C
420,35,C
342,27,C
447,34,C
354,27,C
308,32,C
456,26,C
397,30,C
316,31,C
439,25,C
359,29,C
377,32,C
328,34,C
436,29,C
425,34,C
427,34,C
456,30,C
345,26,C
353,29,C
315,32,C
350,28,C
312,27,C
315,27,C
457,27,C
459,33,C
395,26,C
435,32,C
324,27,C
368,28,C
407,34,C
400,33,C
319,33,C
311,31,C
339,35,C
325,32,C
444,27,C
448,34,C
335,32,C
428,27,C
403,28,C
310,31,C
339,31,C
305,26,C
429,34,C
431,30,C
393,29,C
354,33,C
305,33,C
346,26,C
340,32,C
382,34,C
454,28,C
429,33,C
443,34,C
321,26,C
351,25,C
398,32,C
412,25,C
311,31,C
407,28,C
441,35,C
431,34,C
426,25,C
441,25,C
312,30,C
314,30,C
450,30,C
320,32,C
308,28,C
344,26,C
301,33,C
321,25,C
452,26,C
351,32,C
365,28,C
372,28,C
346,33,C
424,27,C
322,27,C
399,30,C
349,35,C
337,29,C
301,33,C
387,29,C
305,34,C
368,33,C
433,30,C
378,34,C
457,34,C
302,26,C
339,33,C
302,33,C
386,30,C
455,31,C
406,34,C
442,31,C
434,29,C
417,34,C
442,35,C
321,26,C
391,32,C
355,30,C
317,30,C
366,29,C
407,31,C
451,35,C
333,35,C
435,34,C
329,29,C
314,29,C
304,30,C
456,25,C
402,35,C
342,31,C
430,26,C
361,30,C
329,34,C
442,25,C
443,31,C
430,34,C
443,30,C
439,31,C
410,31,C
372,26,C
352,35,C
337,27,C
425,26,C
404,26,C
358,35,C
396,29,C
418,26,C
370,35,C
428,30,C
404,34,C
393,29,C
313,35,C
458,27,C
314,32,C
332,25,C
405,25,C
423,26,C
387,29,C
396,27,C
388,28,C
306,28,C
396,30,C
310,30,C
300,30,C
307,33,C
435,28,C
371,33,C
459,28,C
310,27,C
382,26,C
335,25,C
393,28,C
413,31,C
419,30,C
440,28,C
356,35,C
326,31,C
303,33,C
457,27,C
372,32,C
405,25,C
307,35,C
307,30,C
369,29,C
363,32,C
431,29,C
421,26,C
456,32,C
408,27,C
427,28,C
310,27,C
412,30,C
419,27,C
431,34,C
321,35,C
376,28,C
416,32,C
329,33,C
355,33,C
427,26,C
394,33,C
394,26,C
415,30,C
342,31,C
436,34,C
419,31,C
455,30,C
433,32,C
354,28,C
382,25,C
407,34,C
414,29,C
337,26,C
370,31,C
443,34,C
304,28,C
410,26,C
316,28,C
